Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Vanguard Total Stock Market Index...,3.09%,4864906,360927376,33629,+0.70%,TECH
Vanguard Small Cap Index Fund,2.62%,4115444,305324790,24244,+0.59%,TECH
Vanguard 500 Index Fund,2.33%,3671558,272392888,27280,+0.75%,TECH
Baron Growth Fund,1.87%,2940000,218118600,0,0.00%,TECH
Neuberger Berman Genesis Fund,1.66%,2606534,193378757,-43094,-1.63%,TECH
Vanguard Small Cap Growth Index F...,1.49%,2348420,174229280,-13116,-0.56%,TECH
BlackRock Mid Cap Growth Equity P...,1.46%,2289210,169836490,156402,+7.33%,TECH
Brown Capital Management - Small ...,1.17%,1843654,136780690,94022,+5.37%,TECH
Fidelity 500 Index Fund,1.09%,1720793,127665633,3127,+0.18%,TECH
SPDR S&P 500 ETF Trust,1.09%,1707633,126689292,4888,+0.29%,TECH
Government Pension Fund - Global ...,8.07%,12658021,685052097,-343611,-2.64%,BXP
Stichting Pensioenfonds ABP (Glob...,4.62%,7246959,392205421,155277,+2.19%,BXP
Vanguard Real Estate Index Fund,4.18%,6560369,355047170,-57258,-0.87%,BXP
Vanguard Total Stock Market Index...,2.79%,4378949,236988720,32997,+0.76%,BXP
Vanguard 500 Index Fund,2.12%,3330401,180241302,18840,+0.57%,BXP
Vanguard Mid Cap Index Fund,2.10%,3295296,178341420,6044,+0.18%,BXP
American Funds Income Fund of Ame...,2.04%,3200000,173184000,-191865,-5.66%,BXP
Capital Income Builder,1.91%,3000000,162360000,1000000,+50.00%,BXP
Allspring Special Mid Cap Value F...,1.63%,2554500,138249540,228800,+9.84%,BXP
First Eagle Global Fund,1.62%,2546846,137835306,391876,+18.18%,BXP
Vanguard Total Stock Market Index...,3.10%,18525707,3935415938,183392,+1.00%,BA
Vanguard 500 Index Fund,2.19%,13128669,2788923156,113752,+0.87%,BA
American Funds Growth Fund of Ame...,1.12%,6667822,1416445427,2432346,+57.43%,BA
Fidelity 500 Index Fund,1.03%,6141488,1304636296,11165,+0.18%,BA
SPDR S&P 500 ETF Trust,1.02%,6105705,1297034913,17420,+0.29%,BA
SPDR Dow Jones Industrial Average...,0.93%,5589816,1187444613,-6588,-0.12%,BA
American Funds Investment Company...,0.86%,5159108,1095949312,1595598,+44.78%,BA
Vanguard Growth Index Fund,0.85%,5094694,1082265846,10288,+0.20%,BA
iShares Core S&P 500 ETF,0.83%,4991059,1060250663,672,+0.01%,BA
iShares US Aerospace & Defense ET...,0.79%,4696071,997586363,0,0.00%,BA
Vanguard Total Stock Market Index...,3.10%,8792384,2176466735,70769,+0.81%,BDX
Vanguard 500 Index Fund,2.34%,6628165,1640735964,1680,+0.03%,BDX
Vanguard Wellington Fund,1.49%,4220180,1044663357,-189140,-4.29%,BDX
T Rowe Price Capital Appreciation...,1.20%,3394444,840260668,1123500,+49.47%,BDX
Fidelity 500 Index Fund,1.10%,3126467,773925641,5684,+0.18%,BDX
SPDR S&P 500 ETF Trust,1.09%,3080327,762504146,8788,+0.29%,BDX
Morgan Stanley Invt. Fds. - Globa...,1.01%,2858601,707618092,-82171,-2.79%,BDX
Government Pension Fund - Global ...,0.94%,2674644,662081376,104072,+4.05%,BDX
Vanguard Value Index Fund,0.90%,2540025,628757789,23060,+0.92%,BDX
iShares Core S&P 500 ETF,0.89%,2519736,623735449,340,+0.01%,BDX
Vanguard Dividend Growth Fund,3.28%,16576448,672340731,0,0.00%,BAX
Vanguard Total Stock Market Index...,3.09%,15625364,633764764,117041,+0.75%,BAX
Morgan Stanley Invt. Fds. - Globa...,2.38%,12007949,487042411,-16937,-0.14%,BAX
Vanguard Mid Cap Index Fund,2.33%,11786744,478070337,5898104,+100.16%,BAX
Vanguard 500 Index Fund,2.33%,11781915,477874472,65692,+0.56%,BAX
BlackRock Equity Dividend Fund,1.95%,9832240,398795654,1585944,+19.23%,BAX
Government Pension Fund - Global ...,1.45%,7321509,296960405,1884537,+34.66%,BAX
Fidelity 500 Index Fund,1.09%,5526455,224153015,10043,+0.18%,BAX
Vanguard Wellington Fund,1.08%,5477385,222162736,-2041431,-27.15%,BAX
SPDR S&P 500 ETF Trust,1.08%,5479556,222250791,15652,+0.29%,BAX
Vanguard Total Stock Market Index...,2.78%,4176466,2794556930,-215424,-4.91%,BLK
Vanguard 500 Index Fund,2.33%,3496169,2339356601,6860,+0.20%,BLK
Washington Mutual Investors Fund,1.55%,2329685,1558838827,-95300,-3.93%,BLK
Schwab US Dividend Equity ETF,1.45%,2180305,1458885682,1197,+0.05%,BLK
Fidelity 500 Index Fund,1.10%,1646532,1101727492,2993,+0.18%,BLK
SPDR S&P 500 ETF Trust,1.08%,1628733,1089817825,4628,+0.28%,BLK
Government Pension Fund - Global ...,0.95%,1427530,955188874,116280,+8.87%,BLK
iShares Core S&P 500 ETF,0.89%,1329169,889373561,178,+0.01%,BLK
JPMorgan Equity Income Fund,0.84%,1263590,845493341,0,0.00%,BLK
Vanguard Value Index Fund,0.81%,1209388,809225699,-57594,-4.55%,BLK
Eaton Vance Atlanta Capital SMID ...,2.52%,6629236,412736233,0,0.00%,WRB
Vanguard Total Stock Market Index...,2.33%,6134273,381919837,27175,+0.44%,WRB
Janus Henderson Enterprise Fund,1.92%,5069134,315604283,-1479834,-22.60%,WRB
Vanguard 500 Index Fund,1.80%,4752750,295906215,6560,+0.14%,WRB
Vanguard Mid Cap Index Fund,1.76%,4634330,288533386,-7819,-0.17%,WRB
Government Pension Fund - Global ...,1.02%,2694927,167786155,904954,+50.56%,WRB
Stichting Pensioenfonds ABP (Glob...,0.99%,2608700,162417662,-479511,-15.53%,WRB
First Trust Capital Strength ETF,0.96%,2522943,157078431,-1070,-0.04%,WRB
Victory Sycamore Established Valu...,0.91%,2405000,149735300,-950000,-28.32%,WRB
First Eagle Global Fund,0.86%,2267622,141182146,-130422,-5.44%,WRB
Dodge & Cox Stock Fund,4.60%,36999624,1681262915,0,0.00%,BK
Vanguard Total Stock Market Index...,2.96%,23782730,1080687251,1398244,+6.25%,BK
Vanguard 500 Index Fund,2.13%,17171905,780291363,80465,+0.47%,BK
First Eagle Global Fund,1.43%,11504615,522769706,0,0.00%,BK
Government Pension Fund - Global ...,1.35%,10886989,494704780,1511780,+16.13%,BK
Fidelity 500 Index Fund,1.00%,8063343,366398306,14660,+0.18%,BK
SPDR S&P 500 ETF Trust,0.99%,7943469,360951231,22776,+0.29%,BK
Vanguard Value Index Fund,0.86%,6873134,312315209,406671,+6.29%,BK
iShares Core S&P 500 ETF,0.81%,6528207,296641726,878,+0.01%,BK
Victory Sycamore Established Valu...,0.73%,5900000,268096000,165000,+2.88%,BK
"Principal Funds, Inc. - Mid Cap F...",2.89%,8214701,471688131,93505,+1.15%,BRO
Vanguard Total Stock Market Index...,2.47%,7014234,402757316,41842,+0.60%,BRO
Vanguard 500 Index Fund,1.93%,5487630,315099715,29875,+0.55%,BRO
Eaton Vance Atlanta Capital SMID ...,1.72%,4901447,281441087,0,0.00%,BRO
Allspring Special Mid Cap Value F...,1.68%,4778200,274364244,0,0.00%,BRO
Stichting Pensioenfonds ABP (Glob...,1.23%,3495093,200688240,-99846,-2.78%,BRO
First Eagle Global Fund,1.23%,3486931,200219578,0,0.00%,BRO
Vanguard Small Cap Index Fund,1.04%,2964347,170212805,11785,+0.40%,BRO
ProShares S&P 500 Dividend Aristo...,1.02%,2900631,166554232,0,0.00%,BRO
Vanguard Mid Cap Index Fund,0.93%,2645930,151929301,4597,+0.17%,BRO
Vanguard Total Stock Market Index...,2.83%,6159589,482111031,-70349,-1.13%,BBY
Vanguard Mid Cap Index Fund,2.13%,4651401,364065156,-81909,-1.73%,BBY
Vanguard 500 Index Fund,2.11%,4597244,359826288,-60312,-1.29%,BBY
JPMorgan Equity Income Fund,1.79%,3907224,305818422,292679,+8.10%,BBY
Schwab US Dividend Equity ETF,1.33%,2908236,227627632,1596,+0.05%,BBY
Fidelity 500 Index Fund,1.01%,2196530,171922403,3990,+0.18%,BBY
SPDR S&P 500 ETF Trust,1.00%,2180231,170646680,6084,+0.28%,BBY
Government Pension Fund - Global ...,0.90%,1958052,153256730,-463702,-19.15%,BBY
Vanguard Value Index Fund,0.82%,1781305,139422742,-15399,-0.86%,BBY
Vanguard Mid Cap Value Index Fund,0.82%,1778829,139228946,-11666,-0.65%,BBY
Vanguard Total Stock Market Index...,3.10%,64992700,4504644037,-432898,-0.66%,BMY
Vanguard 500 Index Fund,2.37%,49637813,3440396819,242832,+0.49%,BMY
Government Pension Fund - Global ...,1.22%,25533575,1769732083,3372220,+15.22%,BMY
Fidelity 500 Index Fund,1.11%,23308151,1615487946,42373,+0.18%,BMY
SPDR S&P 500 ETF Trust,1.10%,23085110,1600028974,65884,+0.29%,BMY
iShares Core S&P 500 ETF,0.90%,18870604,1307921563,2540,+0.01%,BMY
Vanguard Value Index Fund,0.90%,18774684,1301273348,-104733,-0.55%,BMY
JPMorgan Equity Income Fund,0.83%,17345551,1202220140,0,0.00%,BMY
SPDR Series - Health Care Select ...,0.80%,16750731,1160993166,0,0.00%,BMY
American Mutual Fund,0.79%,16493213,1143144593,0,0.00%,BMY
Vanguard Total Stock Market Index...,2.94%,6714017,245598742,45377,+0.68%,BBWI
Vanguard 500 Index Fund,2.33%,5332278,195054729,30280,+0.57%,BBWI
T Rowe Price Mid Cap Growth Fund,1.97%,4500000,164610000,509500,+12.77%,BBWI
Vanguard PRIMECAP Fund,1.55%,3533314,129248626,0,0.00%,BBWI
Vanguard Small Cap Index Fund,1.24%,2839437,103866605,11997,+0.42%,BBWI
Vanguard Mid Cap Index Fund,1.11%,2534212,92701475,5048,+0.20%,BBWI
Fidelity 500 Index Fund,1.09%,2503563,91580335,4548,+0.18%,BBWI
SPDR S&P 500 ETF Trust,1.08%,2463059,90098698,7072,+0.29%,BBWI
iShares Core S&P 500 ETF,0.89%,2027303,74158744,272,+0.01%,BBWI
JPMorgan Mid Cap Value Fund,0.89%,2025843,74105337,0,0.00%,BBWI
Vanguard Total Stock Market Index...,3.10%,1165988,3092678231,-27633,-2.32%,BKNG
Vanguard 500 Index Fund,2.40%,905613,2402056977,4560,+0.51%,BKNG
Government Pension Fund - Global ...,1.38%,520715,1381149673,107659,+26.06%,BKNG
Invesco QQQ Trust,1.33%,500198,1326730177,1610,+0.32%,BKNG
Fidelity 500 Index Fund,1.13%,425227,1127876347,773,+0.18%,BKNG
SPDR S&P 500 ETF Trust,1.12%,420527,1115410020,1196,+0.29%,BKNG
Dodge & Cox Stock Fund,1.08%,404630,1073244658,0,0.00%,BKNG
American Funds New Perspective Fu...,1.05%,395182,1048184689,0,0.00%,BKNG
American Funds Fundamental Invest...,0.92%,345900,917468619,0,0.00%,BKNG
iShares Core S&P 500 ETF,0.91%,344282,913177020,46,+0.01%,BKNG
Vanguard Real Estate Index Fund,4.18%,4458403,467418971,-38922,-0.87%,CPT
Vanguard Total Stock Market Index...,3.09%,3300681,346043396,13953,+0.42%,CPT
Government Pension Fund - Global ...,2.80%,2984541,312899278,694429,+30.32%,CPT
Vanguard 500 Index Fund,2.41%,2571015,269545213,97952,+3.96%,CPT
Vanguard Mid Cap Index Fund,2.34%,2492267,261289272,8543,+0.34%,CPT
Cohen & Steers Real Estate Securi...,1.70%,1811205,189886732,165981,+10.09%,CPT
Victory Sycamore Established Valu...,1.63%,1740000,182421600,680000,+64.15%,CPT
Cohen & Steers Institutional Real...,1.59%,1694207,177620662,115614,+7.32%,CPT
"Cohen & Steers Realty Shares, Inc...",1.53%,1633255,171230454,85459,+5.52%,CPT
Daiwa Asset Daiwa US-REIT Open Mo...,1.13%,1210050,126861642,1070716,+768.45%,CPT
American Funds Fundamental Invest...,4.26%,23476484,1483948554,1380008,+6.25%,CNC
Vanguard Total Stock Market Index...,3.09%,17025890,1076206507,-401116,-2.30%,CNC
Vanguard Mid Cap Index Fund,2.34%,12876225,813906182,-335266,-2.54%,CNC
Vanguard 500 Index Fund,2.33%,12858576,812790589,-298348,-2.27%,CNC
Vanguard Health Care Fund,1.62%,8903692,562802371,0,0.00%,CNC
Swedbank Robur Globalfond,1.61%,8850000,559408500,1350000,+18.00%,CNC
Government Pension Fund - Global ...,1.57%,8645043,546453168,3070320,+55.08%,CNC
American Balanced Fund,1.31%,7242000,457766820,685000,+10.45%,CNC
American Funds Capital World Grow...,1.28%,7059617,446238391,14100,+0.20%,CNC
Fidelity 500 Index Fund,1.13%,6207658,392386062,11284,+0.18%,CNC
American Funds Growth Fund of Ame...,5.74%,47883287,2190660380,-5572339,-10.42%,CARR
American Funds Investment Company...,3.46%,28875226,1321041590,0,0.00%,CARR
Vanguard Total Stock Market Index...,3.10%,25838386,1182106160,100991,+0.39%,CARR
Vanguard Mid Cap Index Fund,2.34%,19484678,891424019,-29825,-0.15%,CARR
American Funds New Perspective Fu...,2.34%,19483248,891358596,-405100,-2.04%,CARR
Vanguard 500 Index Fund,2.34%,19474545,890960434,42587,+0.22%,CARR
American Funds Fundamental Invest...,2.32%,19324870,884112803,-335721,-1.71%,CARR
American Balanced Fund,2.05%,17117089,783106822,-898200,-4.99%,CARR
American Funds Capital World Grow...,1.88%,15650118,715992899,145899,+0.94%,CARR
American Mutual Fund,1.36%,11332427,518458535,0,0.00%,CARR
American Funds New Perspective Fu...,3.71%,5564457,531516933,0,0.00%,BG
Vanguard Total Stock Market Index...,3.10%,4648659,444039908,37799,+0.82%,BG
American Funds Income Fund of Ame...,2.84%,4263175,407218476,0,0.00%,BG
American Funds Fundamental Invest...,2.62%,3934431,375816849,635000,+19.25%,BG
Vanguard Small Cap Index Fund,2.62%,3920056,374443749,15717,+0.40%,BG
Vanguard 500 Index Fund,2.33%,3489894,333354675,3489894,--,BG
American Funds Capital World Grow...,2.05%,3078649,294072552,0,0.00%,BG
Vanguard Small Cap Value Index Fu...,1.83%,2750017,262681624,-6824,-0.25%,BG
American Funds New World Fund,1.33%,1993000,190371360,-243000,-10.87%,BG
Government Pension Fund - Global ...,1.22%,1833243,175111371,431480,+30.78%,BG
Vanguard Total Stock Market Index...,2.79%,31152833,316201255,268092,+0.87%,CCL
Vanguard Mid Cap Index Fund,2.10%,23407283,237583922,58991,+0.25%,CCL
Vanguard 500 Index Fund,2.10%,23394026,237449364,145195,+0.62%,CCL
Fidelity 500 Index Fund,0.98%,10978302,111429765,19953,+0.18%,CCL
SPDR S&P 500 ETF Trust,0.98%,10880836,110440485,31044,+0.29%,CCL
Vanguard Value Index Fund,0.80%,8959287,90936763,78858,+0.89%,CCL
Vanguard Mid Cap Value Index Fund,0.80%,8951704,90859796,102044,+1.15%,CCL
iShares Core S&P 500 ETF,0.80%,8894383,90277987,1196,+0.01%,CCL
Vanguard Institutional Index Fund,0.63%,6986934,70917380,-88132,-1.25%,CCL
Invesco S&P 500 Equal Weight ETF,0.61%,6765126,68666029,-14566,-0.21%,CCL
Dodge & Cox Stock Fund,4.10%,4444798,483994054,0,0.00%,CE
Vanguard Total Stock Market Index...,2.79%,3024938,329385499,15184,+0.50%,CE
Vanguard Equity Income Fund,2.22%,2404072,261779400,189743,+8.57%,CE
Vanguard 500 Index Fund,2.15%,2326829,253368410,7020,+0.30%,CE
Vanguard Mid Cap Index Fund,2.10%,2279367,248200273,4181,+0.18%,CE
Hartford Dividend & Growth Fund,1.54%,1673745,182254093,-132181,-7.32%,CE
Washington Mutual Investors Fund,1.54%,1669435,181784777,1669435,--,CE
Government Pension Fund - Global ...,1.38%,1491032,162358474,184923,+14.16%,CE
Fidelity 500 Index Fund,1.01%,1093557,119077422,1988,+0.18%,CE
SPDR S&P 500 ETF Trust,0.99%,1076822,117255148,3068,+0.29%,CE
Vanguard Total Stock Market Index...,3.10%,15990555,3659278606,-24382,-0.15%,CAT
Vanguard 500 Index Fund,2.35%,12149716,2780341009,60080,+0.50%,CAT
Washington Mutual Investors Fund,1.28%,6600605,1510482448,0,0.00%,CAT
American Funds Growth Fund of Ame...,1.21%,6249532,1430142903,-314100,-4.79%,CAT
Fidelity 500 Index Fund,1.11%,5705014,1305535404,10373,+0.18%,CAT
SPDR S&P 500 ETF Trust,1.09%,5650367,1293029984,16120,+0.29%,CAT
SPDR Dow Jones Industrial Average...,1.08%,5589816,1279173493,-6588,-0.12%,CAT
Government Pension Fund - Global ...,0.93%,4781646,1094231871,-426735,-8.19%,CAT
iShares Core S&P 500 ETF,0.90%,4618848,1056977176,622,+0.01%,CAT
Vanguard Value Index Fund,0.90%,4619130,1057041709,-2843,-0.06%,CAT
Vanguard Real Estate Index Fund,4.49%,13919407,1013472024,-121433,-0.86%,CBRE
Vanguard Total Stock Market Index...,3.00%,9308072,677720722,52148,+0.56%,CBRE
Vanguard 500 Index Fund,2.38%,7375962,537043793,34020,+0.46%,CBRE
Vanguard Mid Cap Index Fund,2.26%,7010905,510463993,-1632,-0.02%,CBRE
Oakmark Fund,1.43%,4418000,321674580,550000,+14.22%,CBRE
Allspring Special Mid Cap Value F...,1.28%,3976200,289507122,0,0.00%,CBRE
"Principal Funds, Inc. - Mid Cap F...",1.26%,3906698,284446681,-49870,-1.26%,CBRE
Oakmark Select Fund,1.24%,3849660,280293745,250000,+6.95%,CBRE
Fidelity 500 Index Fund,1.12%,3463609,252185371,6296,+0.18%,CBRE
SPDR S&P 500 ETF Trust,1.11%,3424667,249350004,9776,+0.29%,CBRE
Vanguard Total Stock Market Index...,3.10%,8446502,1774525605,7642,+0.09%,CDNS
Vanguard 500 Index Fund,2.35%,6404233,1345465311,31700,+0.50%,CDNS
Government Pension Fund - Global ...,1.77%,4840743,1016991697,2463621,+103.64%,CDNS
Invesco QQQ Trust,1.33%,3626445,761879830,11690,+0.32%,CDNS
MFS International Intrinsic Value...,1.24%,3376053,709274975,-3155054,-48.31%,CDNS
Vanguard Mid Cap Index Fund,1.17%,3188187,669806207,-3213575,-50.20%,CDNS
Fidelity 500 Index Fund,1.10%,3007205,631783698,5466,+0.18%,CDNS
SPDR S&P 500 ETF Trust,1.09%,2978456,625743821,8476,+0.29%,CDNS
iShares Core S&P 500 ETF,0.89%,2434674,511500661,328,+0.01%,CDNS
BlackRock Mid Cap Growth Equity P...,0.87%,2364243,496703812,0,0.00%,CDNS
Vanguard Total Stock Market Index...,2.01%,6017443,330839016,18577,+0.31%,CPB
Vanguard 500 Index Fund,1.56%,4680191,257316901,14300,+0.31%,CPB
Vanguard Mid Cap Index Fund,1.52%,4546594,249971738,3822,+0.08%,CPB
Government Pension Fund - Global ...,0.95%,2847165,156537132,2338571,+459.81%,CPB
Fidelity 500 Index Fund,0.74%,2201698,121049356,4006,+0.18%,CPB
SPDR S&P 500 ETF Trust,0.73%,2186269,120201070,6240,+0.29%,CPB
Invesco S&P 500 Low Volatility ET...,0.64%,1916528,105370709,-492,-0.03%,CPB
iShares Core S&P 500 ETF,0.60%,1780796,97908164,240,+0.01%,CPB
Vanguard Value Index Fund,0.58%,1740213,95676911,-1411,-0.08%,CPB
Vanguard Mid Cap Value Index Fund,0.58%,1738741,95595980,16891,+0.98%,CPB
First Eagle Global Fund,6.37%,7426526,737973889,0,0.00%,CHRW
Vanguard Total Stock Market Index...,3.09%,3602092,357939882,-16869,-0.47%,CHRW
Vanguard 500 Index Fund,2.36%,2745811,272851239,8320,+0.30%,CHRW
Vanguard Mid Cap Index Fund,2.34%,2721389,270424425,-23093,-0.84%,CHRW
SPDR S&P Dividend ETF,1.91%,2224428,221041410,-606,-0.03%,CHRW
Parnassus Mid Cap Fund,1.71%,1989767,197723147,-437100,-18.01%,CHRW
iShares Tr. - Edge MSCI Min. Vol....,1.65%,1919693,190759893,-972,-0.05%,CHRW
ProShares S&P 500 Dividend Aristo...,1.48%,1718081,170725709,0,0.00%,CHRW
Fidelity 500 Index Fund,1.11%,1290392,128226253,2345,+0.18%,CHRW
SPDR S&P 500 ETF Trust,1.10%,1275839,126780121,3640,+0.29%,CHRW
"Principal Funds, Inc. - Mid Cap F...",4.12%,6507897,418327619,-71146,-1.08%,KMX
Vanguard Total Stock Market Index...,3.10%,4891651,314435326,25279,+0.52%,KMX
Akre Focus Fund,2.94%,4650000,298902000,-477101,-9.31%,KMX
Vanguard Mid Cap Index Fund,2.34%,3691052,237260823,6904,+0.19%,KMX
Vanguard 500 Index Fund,2.33%,3688849,237119214,20480,+0.56%,KMX
Janus Henderson Enterprise Fund,2.22%,3515098,225950499,0,0.00%,KMX
American Funds AMCAP Fund,1.68%,2646924,170144275,-1045385,-28.31%,KMX
Diamond Hill Large Cap Fund,1.57%,2481548,159513905,0,0.00%,KMX
Sequoia Fund,1.43%,2255975,145014073,0,0.00%,KMX
American Funds Growth Fund of Ame...,1.39%,2197927,141282748,-1366692,-38.34%,KMX
Vanguard Total Stock Market Index...,3.09%,4189153,816424028,25241,+0.61%,CDW
Vanguard Mid Cap Index Fund,2.33%,3162377,616315654,1845,+0.06%,CDW
Vanguard 500 Index Fund,2.33%,3160907,616029165,15320,+0.49%,CDW
Fidelity Magellan Fund,1.34%,1821323,354957639,-69300,-3.67%,CDW
Fidelity 500 Index Fund,1.10%,1484232,289261974,2697,+0.18%,CDW
SPDR S&P 500 ETF Trust,1.08%,1470015,286491223,4212,+0.29%,CDW
Mawer Global Equity Fund,1.05%,1416300,276022707,-12300,-0.86%,CDW
Vanguard Value Index Fund,0.89%,1210904,235993081,10752,+0.90%,CDW
Vanguard Mid Cap Value Index Fund,0.89%,1209391,235698212,12982,+1.09%,CDW
iShares Core S&P 500 ETF,0.89%,1201650,234189569,162,+0.01%,CDW
American Funds Growth Fund of Ame...,8.22%,17683884,863150378,0,0.00%,CZR
American Funds AMCAP Fund,3.78%,8122143,396441800,0,0.00%,CZR
Vanguard Total Stock Market Index...,2.94%,6326707,308806569,46826,+0.75%,CZR
Janus Henderson Contrarian Fund,2.45%,5272456,257348577,159578,+3.12%,CZR
Vanguard 500 Index Fund,2.33%,5008947,244486703,27740,+0.56%,CZR
Vanguard Mid Cap Index Fund,2.22%,4774793,233057646,22643,+0.48%,CZR
Fidelity Blue Chip Growth Fund,1.85%,3973136,193928768,0,0.00%,CZR
Janus Henderson Forty Fund,1.54%,3308675,161496427,-250313,-7.03%,CZR
Government Pension Fund - Global ...,1.23%,2649103,129302717,787605,+42.31%,CZR
Fidelity 500 Index Fund,1.09%,2352192,114810492,4275,+0.18%,CZR
T Rowe Price New Horizons Fund,6.91%,10643297,779302206,-793054,-6.93%,CDAY
American Funds AMCAP Fund,5.62%,8660795,634143410,272355,+3.25%,CDAY
American Funds New Economy Fund,3.31%,5097121,373211200,-1144940,-18.34%,CDAY
Vanguard Total Stock Market Index...,2.93%,4520048,330957915,37257,+0.83%,CDAY
American Funds Fundamental Invest...,2.74%,4215057,308626474,581158,+15.99%,CDAY
Vanguard Small Cap Index Fund,2.48%,3824756,280048634,21669,+0.57%,CDAY
Vanguard 500 Index Fund,2.33%,3591611,262977757,25820,+0.72%,CDAY
Janus Henderson Enterprise Fund,2.21%,3398171,248814081,-142988,-4.04%,CDAY
American Funds Growth Fund of Ame...,2.17%,3342377,244728844,711211,+27.03%,CDAY
T Rowe Price Growth Stock Fund,1.74%,2682089,196382557,-89732,-3.24%,CDAY
Vanguard Total Stock Market Index...,2.94%,5292219,347751710,27121,+0.52%,CTLT
T Rowe Price Mid Cap Growth Fund,2.86%,5142500,337913675,-6700,-0.13%,CTLT
American Funds New Perspective Fu...,2.60%,4681670,307632536,0,0.00%,CTLT
Vanguard 500 Index Fund,2.33%,4204179,276256602,26252,+0.63%,CTLT
Vanguard Mid Cap Index Fund,2.22%,3996127,262585505,10083,+0.25%,CTLT
American Funds Growth Fund of Ame...,2.22%,3989781,262168510,148197,+3.86%,CTLT
Janus Henderson Enterprise Fund,1.68%,3023857,198697643,758721,+33.50%,CTLT
Artisan Mid Cap Fund,1.25%,2255144,148185512,207938,+10.16%,CTLT
Janus Henderson Triton Fund,1.24%,2230747,146582385,127422,+6.06%,CTLT
Franklin Growth Fund,1.18%,2119187,139251778,0,0.00%,CTLT
American Mutual Fund,6.69%,42137828,1241380413,341958,+0.82%,CNP
American Balanced Fund,4.04%,25469141,750320894,0,0.00%,CNP
Vanguard Total Stock Market Index...,3.09%,19446789,572902404,95836,+0.50%,CNP
Vanguard 500 Index Fund,2.33%,14697782,432996658,64780,+0.44%,CNP
Vanguard Mid Cap Index Fund,2.33%,14702006,433121097,22232,+0.15%,CNP
John Hancock III - Disciplined Va...,1.86%,11723281,345367858,160110,+1.38%,CNP
SPDR Series - Utilities Select Se...,1.57%,9878989,291035016,10835,+0.11%,CNP
American Funds Fundamental Invest...,1.31%,8257540,243267128,-4766402,-36.60%,CNP
Fidelity 500 Index Fund,1.10%,6901329,203313152,12542,+0.18%,CNP
SPDR S&P 500 ETF Trust,1.09%,6835245,201366318,19500,+0.29%,CNP
Vanguard Total Stock Market Index...,3.09%,7971267,601830659,-83745,-1.04%,CAH
Vanguard Mid Cap Index Fund,2.34%,6017813,454344882,-99108,-1.62%,CAH
Vanguard 500 Index Fund,2.34%,6015193,454147072,-71992,-1.18%,CAH
BlackRock Equity Dividend Fund,1.26%,3256768,245885984,195690,+6.39%,CAH
Fidelity 500 Index Fund,1.12%,2873659,216961255,5222,+0.18%,CAH
SPDR S&P Dividend ETF,1.11%,2850331,215199991,-777,-0.03%,CAH
SPDR S&P 500 ETF Trust,1.10%,2841586,214539743,8008,+0.28%,CAH
Government Pension Fund - Global ...,1.09%,2798050,211252775,-110737,-3.81%,CAH
Pacer Fds. Tr. - US Cash Cows 100...,0.93%,2385477,180103514,7776,+0.33%,CAH
Vanguard Value Index Fund,0.89%,2304213,173968082,-20290,-0.87%,CAH
Vanguard Total Stock Market Index...,3.10%,3274636,439587137,11000,+0.34%,CBOE
Vanguard 500 Index Fund,2.34%,2478402,332700684,11740,+0.48%,CBOE
Vanguard Mid Cap Index Fund,2.34%,2469863,331554409,-3411,-0.14%,CBOE
iShares Tr. - Edge MSCI Min. Vol....,1.64%,1736357,233088564,-878,-0.05%,CBOE
Parnassus Mid Cap Fund,1.49%,1572588,211104213,-374843,-19.25%,CBOE
Government Pension Fund - Global ...,1.18%,1246819,167372983,330617,+36.09%,CBOE
Fidelity 500 Index Fund,1.10%,1162931,156111857,2114,+0.18%,CBOE
SPDR S&P 500 ETF Trust,1.08%,1141048,153174284,3276,+0.29%,CBOE
Stichting Pensioenfonds ABP (Glob...,1.01%,1072665,143994550,165043,+18.18%,CBOE
Vanguard Value Index Fund,0.90%,946083,127002182,5247,+0.56%,CBOE
Dodge & Cox Stock Fund,6.18%,23541913,2263790354,0,0.00%,COF
Vanguard Total Stock Market Index...,3.10%,11794214,1134131618,47208,+0.40%,COF
Vanguard 500 Index Fund,2.34%,8901458,855964201,33100,+0.37%,COF
Washington Mutual Investors Fund,1.45%,5505413,529400514,0,0.00%,COF
Fidelity 500 Index Fund,1.10%,4184397,402371616,7609,+0.18%,COF
SPDR S&P 500 ETF Trust,1.09%,4146834,398759557,11804,+0.29%,COF
American Balanced Fund,0.99%,3782000,363677120,0,0.00%,COF
Oakmark Fund,0.97%,3709000,356657440,200000,+5.70%,COF
Davis New York Venture Fund,0.94%,3595753,345767608,-125340,-3.37%,COF
JPMorgan Equity Income Fund,0.92%,3491616,335753795,0,0.00%,COF
Vanguard Total Stock Market Index...,2.63%,2673460,1236956473,18391,+0.69%,CTAS
Vanguard 500 Index Fund,1.99%,2016710,933091383,11640,+0.58%,CTAS
Vanguard Mid Cap Index Fund,1.99%,2017548,933479109,5171,+0.26%,CTAS
Invesco QQQ Trust,1.33%,1350093,624661029,4340,+0.32%,CTAS
Franklin Rising Dividends Fund,0.94%,955523,442101382,-3400,-0.35%,CTAS
Fidelity 500 Index Fund,0.93%,946214,437794294,1719,+0.18%,CTAS
