Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
"The Vanguard Group, Inc.",7.84%,12379949,2878957140,175309,+1.44%,ILMN
BlackRock Fund Advisors,5.17%,8161633,1897987754,215204,+2.71%,ILMN
"SSgA Funds Management, Inc.",4.21%,6646111,1545553113,77101,+1.17%,ILMN
Edgewood Management LLC,4.10%,6478370,1506544944,-948713,-12.77%,ILMN
Polen Capital Management LLC,3.20%,5048402,1174005885,527005,+11.66%,ILMN
Wellington Management Co. LLP,2.58%,4069888,946452454,722880,+21.60%,ILMN
AllianceBernstein LP,2.45%,3869403,899829668,2294942,+145.76%,ILMN
Morgan Stanley Investment Managem...,2.27%,3587097,834179407,1661697,+86.30%,ILMN
"Loomis, Sayles & Co. LP",2.04%,3226795,750391177,-371495,-10.32%,ILMN
Fidelity Management & Research Co...,14.44%,10041403,3202805901,20914,+0.21%,PODD
"The Vanguard Group, Inc.",11.37%,7903404,2520869740,1528409,+23.98%,PODD
Capital Research & Management Co....,8.85%,6151361,1962038105,-304124,-4.71%,PODD
Wellington Management Co. LLP,8.07%,5611021,1789691258,558486,+11.05%,PODD
Capital Research & Management Co....,5.71%,3972198,1266972274,-174060,-4.20%,PODD
BlackRock Fund Advisors,4.61%,3205072,1022289765,58647,+1.86%,PODD
"T. Rowe Price Associates, Inc. (I...",4.45%,3091759,986147451,-173046,-5.30%,PODD
ClearBridge Investments LLC,2.30%,1597075,509403042,-65573,-3.94%,PODD
"SSgA Funds Management, Inc.",2.03%,1412821,450633386,-24131,-1.68%,PODD
"JPMorgan Investment Management, I...",1.58%,1100233,350930318,-68499,-5.86%,PODD
Baker Bros. Advisors LP,16.23%,36175829,2614427162,20858,+0.06%,INCY
"The Vanguard Group, Inc.",9.31%,20752117,1499755496,294253,+1.44%,INCY
Dodge & Cox,8.68%,19362935,1399359312,-430465,-2.17%,INCY
BlackRock Fund Advisors,6.17%,13766314,994891513,355454,+2.65%,INCY
"SSgA Funds Management, Inc.",4.23%,9433364,681749216,-119589,-1.25%,INCY
RBC Global Asset Management (UK) ...,3.75%,8367058,604687282,-55097,-0.65%,INCY
Wellington Management Co. LLP,3.48%,7757163,560610170,-2565263,-24.85%,INCY
Renaissance Technologies LLC,2.05%,4568233,330146199,-279000,-5.76%,INCY
Geode Capital Management LLC,1.74%,3868413,279570208,98552,+2.61%,INCY
First Trust Advisors LP,1.51%,3374919,243905396,2387445,+241.77%,INCY
"The Vanguard Group, Inc.",11.32%,163344157,1829454558,1681995,+1.04%,HBAN
BlackRock Fund Advisors,6.69%,96589241,1081799499,1250424,+1.31%,HBAN
"T. Rowe Price Associates, Inc. (I...",5.26%,75907624,850165389,3618731,+5.01%,HBAN
"SSgA Funds Management, Inc.",5.13%,74060013,829472146,-2375559,-3.11%,HBAN
Fidelity Management & Research Co...,3.16%,45658046,511370115,1215798,+2.74%,HBAN
Charles Schwab Investment Managem...,3.14%,45267633,506997490,2912638,+6.88%,HBAN
"Boston Partners Global Investors,...",2.60%,37566252,420742022,-1635799,-4.17%,HBAN
Geode Capital Management LLC,2.10%,30304083,339405730,708230,+2.39%,HBAN
"JPMorgan Investment Management, I...",1.66%,23989416,268681459,235888,+0.99%,HBAN
"Invesco Advisers, Inc.",1.48%,21394075,239613640,-91046,-0.42%,HBAN
"The Vanguard Group, Inc.",7.98%,27942295,7138418104,130903,+0.47%,ISRG
"T. Rowe Price Associates, Inc. (I...",5.96%,20875442,5333049168,-3651588,-14.89%,ISRG
BlackRock Fund Advisors,4.74%,16607977,4242839884,31244,+0.19%,ISRG
"SSgA Funds Management, Inc.",4.25%,14894073,3804988829,-309506,-2.04%,ISRG
Capital Research & Management Co....,2.12%,7436238,1899735722,47782,+0.65%,ISRG
AllianceBernstein LP,2.10%,7373473,1883701147,544463,+7.97%,ISRG
Fidelity Management & Research Co...,1.92%,6730287,1719386420,2534410,+60.40%,ISRG
Edgewood Management LLC,1.90%,6642917,1697066006,-970066,-12.74%,ISRG
Geode Capital Management LLC,1.82%,6383336,1630750848,91775,+1.46%,ISRG
"JPMorgan Investment Management, I...",1.64%,5760872,1471729970,-63030,-1.08%,ISRG
"The Vanguard Group, Inc.",9.39%,7784587,3892916267,77820,+1.01%,IDXX
BlackRock Fund Advisors,6.14%,5093350,2547082468,-116004,-2.23%,IDXX
Fundsmith LLP,5.37%,4447828,2224269826,-170825,-3.70%,IDXX
"SSgA Funds Management, Inc.",4.62%,3827848,1914230228,43495,+1.15%,IDXX
AllianceBernstein LP,3.91%,3240710,1620614257,334020,+11.49%,IDXX
"BAMCO, Inc.",2.86%,2373586,1186982887,-13809,-0.58%,IDXX
Geode Capital Management LLC,2.32%,1920142,960224611,28791,+1.52%,IDXX
American Century Investment Manag...,1.82%,1510160,755200813,-18799,-1.23%,IDXX
William Blair Investment Manageme...,1.55%,1283456,641830676,-49058,-3.68%,IDXX
"Franklin Advisers, Inc.",1.38%,1144579,572381066,-48730,-4.08%,IDXX
"The Vanguard Group, Inc.",8.47%,23767960,10596469607,280244,+1.19%,INTU
"T. Rowe Price Associates, Inc. (I...",5.94%,16660990,7427969172,120343,+0.73%,INTU
BlackRock Fund Advisors,4.86%,13627590,6075588450,-25929,-0.19%,INTU
"SSgA Funds Management, Inc.",3.88%,10889407,4854824323,-470033,-4.14%,INTU
Fidelity Management & Research Co...,2.04%,5714866,2547858709,-360656,-5.94%,INTU
Geode Capital Management LLC,1.82%,5109960,2278173467,86957,+1.73%,INTU
"JPMorgan Investment Management, I...",1.65%,4638110,2067808581,867455,+23.01%,INTU
Edgewood Management LLC,1.36%,3825069,1705330512,-372554,-8.88%,INTU
State Farm Investment Management ...,1.13%,3171423,1413915516,0,0.00%,INTU
BlackRock Investment Management (...,1.08%,3027797,1349882737,-459827,-13.18%,INTU
T. Rowe Price Investment Manageme...,12.55%,50820205,2956719527,-12700052,-19.99%,IR
"The Vanguard Group, Inc.",10.80%,43734284,2544460643,625290,+1.45%,IR
"T. Rowe Price Associates, Inc. (I...",7.52%,30462884,1772330591,1651634,+5.73%,IR
BlackRock Fund Advisors,4.74%,19210580,1117671544,1078568,+5.95%,IR
Artisan Partners LP,3.86%,15611586,908282073,-5488296,-26.01%,IR
"SSgA Funds Management, Inc.",3.74%,15130140,880271545,-3299,-0.02%,IR
Janus Henderson Investors US LLC,2.63%,10655486,619936175,272560,+2.63%,IR
"JPMorgan Investment Management, I...",2.56%,10378160,603801349,-1530559,-12.85%,IR
Massachusetts Financial Services ...,2.43%,9839808,572480029,-3479624,-26.12%,IR
Fidelity Management & Research Co...,2.35%,9501780,552813560,931740,+10.87%,IR
"The Vanguard Group, Inc.",11.61%,40643482,1465603961,-392608,-0.96%,IP
BlackRock Fund Advisors,7.68%,26896423,969885013,463995,+1.76%,IP
"T. Rowe Price Associates, Inc. (I...",7.47%,26149241,942941630,-968681,-3.57%,IP
"SSgA Funds Management, Inc.",6.60%,23091209,832668997,-574292,-2.43%,IP
Geode Capital Management LLC,2.26%,7925910,285808315,-52490,-0.66%,IP
Charles Schwab Investment Managem...,2.26%,7909773,285226414,642960,+8.85%,IP
Invesco Capital Management LLC,2.18%,7647036,275752118,-738566,-8.81%,IP
"Greenhaven Associates, Inc.",1.82%,6365425,229537226,283600,+4.66%,IP
"Invesco Advisers, Inc.",1.81%,6333209,228375517,297007,+4.92%,IP
Nordea Investment Management AB (...,1.60%,5588920,201536455,-54139,-0.96%,IP
"The Vanguard Group, Inc.",12.03%,9082924,2098427932,200223,+2.25%,IEX
BlackRock Fund Advisors,5.23%,3952123,913058977,208251,+5.56%,IEX
"T. Rowe Price Associates, Inc. (I...",4.33%,3269952,755457011,306008,+10.32%,IEX
"SSgA Funds Management, Inc.",3.93%,2966731,685403863,-5689,-0.19%,IEX
Wellington Management Co. LLP,3.72%,2810372,649280243,-103992,-3.57%,IEX
AllianceBernstein LP,3.62%,2736556,632226533,48631,+1.81%,IEX
T. Rowe Price Investment Manageme...,2.67%,2018566,466349303,440,+0.02%,IEX
Impax Asset Management Ltd.,2.49%,1880247,434393464,-33924,-1.77%,IEX
Brown Advisory LLC,2.44%,1840577,425228504,-42536,-2.26%,IEX
Pictet Asset Management SA,2.11%,1594332,368338522,-8330,-0.52%,IEX
"The Vanguard Group, Inc.",8.45%,349469601,11417171865,4966256,+1.44%,INTC
BlackRock Fund Advisors,5.15%,213105433,6962154496,-14827227,-6.51%,INTC
"SSgA Funds Management, Inc.",4.30%,177871536,5811063081,-2407743,-1.34%,INTC
Geode Capital Management LLC,1.99%,82216762,2686021615,816749,+1.00%,INTC
Capital Research & Management Co....,1.53%,63089266,2061126320,-3850357,-5.75%,INTC
PRIMECAP Management Co.,1.37%,56571961,1848205966,4454735,+8.55%,INTC
"Northern Trust Investments, Inc.(...",1.01%,41633932,1360180558,180233,+0.43%,INTC
Norges Bank Investment Management,1.00%,41352218,1350976962,959055,+2.37%,INTC
BlackRock Advisors (UK) Ltd.,0.97%,40155112,1311867509,2137200,+5.62%,INTC
BlackRock Investment Management (...,0.83%,34434773,1124984034,-990999,-2.80%,INTC
"The Vanguard Group, Inc.",7.71%,43109011,4495838757,310879,+0.73%,ICE
BlackRock Fund Advisors,4.73%,26433415,2756740850,708794,+2.76%,ICE
"SSgA Funds Management, Inc.",4.27%,23880041,2490449476,69032,+0.29%,ICE
T. Rowe Price Investment Manageme...,3.06%,17114267,1784846905,5354161,+45.53%,ICE
Morgan Stanley Investment Managem...,2.97%,16600160,1731230686,-140442,-0.84%,ICE
Fidelity Management & Research Co...,1.98%,11043702,1151747682,-862135,-7.24%,ICE
Geode Capital Management LLC,1.86%,10375880,1082100525,218684,+2.15%,ICE
Lazard Asset Management LLC,1.84%,10301476,1074340932,-66549,-0.64%,ICE
Capital Research & Management Co....,1.76%,9854804,1027757509,-46687,-0.47%,ICE
Harris Associates LP,1.72%,9604926,1001697733,6060367,+170.98%,ICE
Massachusetts Mutual Life Insuran...,17.89%,81332319,1333850032,1552555,+1.95%,IVZ
"The Vanguard Group, Inc.",11.26%,51195159,839600608,809211,+1.61%,IVZ
Trian Fund Management LP,7.68%,34909352,572513373,-20849282,-37.39%,IVZ
BlackRock Fund Advisors,7.35%,33415965,548021826,5381114,+19.19%,IVZ
"SSgA Funds Management, Inc.",5.58%,25373733,416129221,-40410,-0.16%,IVZ
Geode Capital Management LLC,2.02%,9204556,150954718,319016,+3.59%,IVZ
Dimensional Fund Advisors LP,1.99%,9041422,148279321,480760,+5.62%,IVZ
Massachusetts Financial Services ...,1.24%,5653856,92723238,-1110204,-16.41%,IVZ
"Northern Trust Investments, Inc.(...",0.90%,4075404,66836626,3474,+0.09%,IVZ
Charles Schwab Investment Managem...,0.83%,3789674,62150654,127265,+3.47%,IVZ
"Berkshire Hathaway, Inc. (Investm...",10.61%,104476035,3066371627,0,0.00%,HPQ
"The Vanguard Group, Inc.",9.09%,89507819,2627054488,-1211161,-1.34%,HPQ
BlackRock Fund Advisors,6.09%,60025268,1761741616,-5512605,-8.41%,HPQ
Dodge & Cox,5.32%,52451225,1539443454,-1987754,-3.65%,HPQ
"SSgA Funds Management, Inc.",4.81%,47382642,1390680543,-1496957,-3.06%,HPQ
PRIMECAP Management Co.,2.28%,22470525,659509909,-1082780,-4.60%,HPQ
Geode Capital Management LLC,1.93%,18966148,556656444,-534076,-2.74%,HPQ
"New England Asset Management, Inc...",1.67%,16476783,483593581,0,0.00%,HPQ
LSV Asset Management,1.36%,13400130,393293816,-764916,-5.40%,HPQ
Dimensional Fund Advisors LP,1.33%,13124441,385202343,-67405,-0.51%,HPQ
"The Vanguard Group, Inc.",8.67%,10829960,5257512382,166990,+1.57%,HUM
"T. Rowe Price Associates, Inc. (I...",6.10%,7623130,3700724690,831057,+12.24%,HUM
Wellington Management Co. LLP,6.09%,7611181,3694923928,-1364505,-15.20%,HUM
BlackRock Fund Advisors,5.04%,6296143,3056525581,449718,+7.69%,HUM
"SSgA Funds Management, Inc.",4.55%,5682335,2758546349,68781,+1.23%,HUM
Fidelity Management & Research Co...,4.46%,5570390,2704201529,-151344,-2.65%,HUM
Capital Research & Management Co....,3.56%,4453013,2161759691,1114884,+33.40%,HUM
Geode Capital Management LLC,1.78%,2217785,1076645906,49839,+2.30%,HUM
Capital Research & Management Co....,1.76%,2200147,1068083363,-638523,-22.49%,HUM
GQG Partners LLC,1.72%,2146146,1041868037,1347209,+168.63%,HUM
"The Vanguard Group, Inc.",12.09%,30840781,2836118221,307513,+1.01%,IFF
Winder Investment Pte Ltd.,9.94%,25356381,2331772797,0,0.00%,IFF
BlackRock Fund Advisors,5.30%,13526133,1243863191,1033818,+8.28%,IFF
"SSgA Funds Management, Inc.",4.13%,10539302,969194212,4276,+0.04%,IFF
Massachusetts Financial Services ...,3.40%,8682021,798398651,1490847,+20.73%,IFF
"T. Rowe Price Associates, Inc. (I...",3.05%,7772700,714777492,2890737,+59.21%,IFF
Sachem Head Capital Management LP,2.53%,6446239,592796138,190000,+3.04%,IFF
"Amundi Asset Management US, Inc.",2.45%,6256413,575339739,1184553,+23.36%,IFF
Geode Capital Management LLC,2.02%,5158192,474347336,117019,+2.32%,IFF
LTS One Management LP,1.75%,4450000,409222000,-512500,-10.33%,IFF
Briar Hall Management LLC,8.64%,26352224,6415448933,0,0.00%,ITW
"The Vanguard Group, Inc.",8.03%,24497390,5963889596,98598,+0.40%,ITW
State Farm Investment Management ...,6.89%,21029900,5119729155,0,0.00%,ITW
BlackRock Fund Advisors,4.63%,14112365,3435655259,101526,+0.72%,ITW
"SSgA Funds Management, Inc.",4.18%,12756494,3105568464,-61778,-0.48%,ITW
"Northern Trust Investments, Inc.(...",4.09%,12481281,3038567859,-40100,-0.32%,ITW
Charles Schwab Investment Managem...,2.30%,7005137,1705400603,545904,+8.45%,ITW
Wells Fargo Clearing Services LLC,2.01%,6132680,1493000946,-34109,-0.55%,ITW
Massachusetts Financial Services ...,1.97%,6001113,1460970960,-470840,-7.28%,ITW
Capital Research & Management Co....,1.80%,5496847,1338207402,233134,+4.43%,ITW
"The Vanguard Group, Inc.",8.42%,76392974,10014354962,994875,+1.32%,IBM
"SSgA Funds Management, Inc.",5.89%,53447207,7006394366,263719,+0.50%,IBM
BlackRock Fund Advisors,5.62%,50988547,6684088626,2567074,+5.30%,IBM
Charles Schwab Investment Managem...,2.06%,18701925,2451635348,270201,+1.47%,IBM
Geode Capital Management LLC,1.76%,15974179,2094055125,334758,+2.14%,IBM
"JPMorgan Investment Management, I...",1.15%,10448995,1369758755,2338179,+28.83%,IBM
"Northern Trust Investments, Inc.(...",1.00%,9115320,1194927299,-325533,-3.45%,IBM
Morgan Stanley Smith Barney LLC (...,0.99%,8934833,1171267258,48420,+0.54%,IBM
Columbia Management Investment Ad...,0.75%,6804284,891973590,573771,+9.21%,IBM
BlackRock Investment Management (...,0.75%,6784895,889431886,-204108,-2.92%,IBM
"The Vanguard Group, Inc.",11.51%,4588926,949999461,80659,+1.79%,HII
BlackRock Fund Advisors,7.40%,2947570,610205941,84360,+2.95%,HII
"SSgA Funds Management, Inc.",7.28%,2899797,600315975,-20748,-0.71%,HII
Capital Research & Management Co....,6.03%,2403461,497564496,117900,+5.16%,HII
Fidelity Management & Research Co...,3.48%,1384812,286683780,-185170,-11.79%,HII
Invesco Capital Management LLC,2.43%,968936,200589131,352541,+57.19%,HII
Geode Capital Management LLC,2.19%,872801,180687263,71685,+8.95%,HII
LSV Asset Management,1.84%,735014,152162598,-87598,-10.65%,HII
American Century Investment Manag...,1.72%,685291,141868943,-19469,-2.76%,HII
Balyasny Asset Management LP,1.64%,652915,135166463,281059,+75.58%,HII
"The Vanguard Group, Inc.",11.80%,45459249,1692902433,-2117853,-4.45%,IPG
BlackRock Fund Advisors,7.49%,28843014,1074113841,127387,+0.44%,IPG
"SSgA Funds Management, Inc.",5.47%,21054406,784066079,-77906,-0.37%,IPG
Harris Associates LP,3.67%,14129191,526171073,16877,+0.12%,IPG
Fidelity Management & Research Co...,3.55%,13676450,509310998,-439591,-3.11%,IPG
Black Creek Investment Management...,2.95%,11362432,423136968,-2058233,-15.34%,IPG
Charles Schwab Investment Managem...,2.41%,9275928,345435559,815502,+9.64%,IPG
Geode Capital Management LLC,2.15%,8295462,308923005,27214,+0.33%,IPG
Ariel Investments LLC,2.12%,8178383,304562983,-387286,-4.52%,IPG
Capital Research & Management Co....,2.05%,7883500,293581540,7883500,--,IPG
"The Vanguard Group, Inc.",9.07%,236271620,36622101100,1329193,+0.57%,JNJ
"SSgA Funds Management, Inc.",5.46%,142084378,22023078590,198067,+0.14%,JNJ
BlackRock Fund Advisors,4.82%,125452825,19445187875,-5656735,-4.31%,JNJ
Geode Capital Management LLC,1.84%,47958583,7433580365,294671,+0.62%,JNJ
State Farm Investment Management ...,1.22%,31675492,4909701260,0,0.00%,JNJ
"Northern Trust Investments, Inc.(...",1.17%,30389281,4710338555,-118422,-0.39%,JNJ
"T. Rowe Price Associates, Inc. (I...",1.12%,29277774,4538054970,3849148,+15.14%,JNJ
Wellington Management Co. LLP,1.03%,26861119,4163473445,-1125820,-4.02%,JNJ
Norges Bank Investment Management,1.00%,26093398,4044476690,1700287,+6.97%,JNJ
BlackRock Investment Management (...,0.94%,24502820,3797937100,-251013,-1.01%,JNJ
"The Vanguard Group, Inc.",16.01%,99027215,1934001509,758378,+0.77%,KIM
"SSgA Funds Management, Inc.",7.30%,45156000,881896680,352345,+0.79%,KIM
BlackRock Fund Advisors,6.77%,41848109,817293569,3010123,+7.75%,KIM
Cohen & Steers Capital Management...,5.40%,33414135,652578057,-6486601,-16.26%,KIM
Resolution Capital Ltd.,4.19%,25922985,506275897,1133241,+4.57%,KIM
"JPMorgan Investment Management, I...",3.73%,23047788,450123300,-923763,-3.85%,KIM
Capital Research & Management Co....,3.24%,20021868,391027082,3050702,+17.98%,KIM
"APG Asset Management US, Inc.",2.37%,14631911,285761222,-533085,-3.52%,KIM
Geode Capital Management LLC,2.27%,14020549,273821322,411759,+3.03%,KIM
"Invesco Advisers, Inc.",2.02%,12476940,243674638,766754,+6.55%,KIM
"The Vanguard Group, Inc.",8.92%,16955626,3327372046,411251,+2.49%,LHX
Capital Research & Management Co....,7.07%,13441165,2637694220,-164999,-1.21%,LHX
"T. Rowe Price Associates, Inc. (I...",5.45%,10364874,2034002874,606598,+6.22%,LHX
BlackRock Fund Advisors,5.09%,9676090,1898835902,535500,+5.86%,LHX
"SSgA Funds Management, Inc.",4.39%,8351384,1638875596,-87166,-1.03%,LHX
Capital Research & Management Co....,3.27%,6208016,1218261060,1586790,+34.34%,LHX
Wells Fargo Clearing Services LLC,2.18%,4150968,814585960,-20265,-0.49%,LHX
Wellington Management Co. LLP,1.91%,3629284,712210692,-63269,-1.71%,LHX
Geode Capital Management LLC,1.85%,3521626,691083886,25717,+0.74%,LHX
Janus Henderson Investors US LLC,1.59%,3023104,593253929,104854,+3.59%,LHX
"The Vanguard Group, Inc.",15.58%,95264205,2975101122,-27524,-0.03%,INVH
Cohen & Steers Capital Management...,12.66%,77392949,2416981797,-1672490,-2.12%,INVH
BlackRock Fund Advisors,6.61%,40391195,1261417020,7255500,+21.90%,INVH
"SSgA Funds Management, Inc.",6.32%,38645748,1206906710,511815,+1.34%,INVH
Norges Bank Investment Management,6.22%,38026599,1187570687,8042735,+26.82%,INVH
Principal Global Investors LLC,3.41%,20872704,651854546,-1085417,-4.94%,INVH
"APG Asset Management US, Inc.",2.82%,17233959,538216540,-228796,-1.31%,INVH
Resolution Capital Ltd.,2.74%,16775504,523898990,855887,+5.38%,INVH
Daiwa Asset Management Co. Ltd.,2.65%,16191571,505662762,1874106,+13.09%,INVH
Geode Capital Management LLC,2.15%,13139916,410359577,241210,+1.87%,INVH
"The Vanguard Group, Inc.",11.40%,106243590,1330169747,1329025,+1.27%,KEY
BlackRock Fund Advisors,6.10%,56860199,711889691,-680019,-1.18%,KEY
Capital Research & Management Co....,5.49%,51175837,640721479,-14868,-0.03%,KEY
"SSgA Funds Management, Inc.",5.37%,50030551,626382499,-1170602,-2.29%,KEY
"Boston Partners Global Investors,...",3.49%,32534320,407329686,84047,+0.26%,KEY
Charles Schwab Investment Managem...,2.12%,19753312,247311466,1993369,+11.22%,KEY
Geode Capital Management LLC,2.10%,19541801,244663349,191952,+0.99%,KEY
Federated Equity Management Compa...,1.58%,14688543,183900558,1851101,+14.42%,KEY
Invesco Capital Management LLC,1.53%,14210879,177920205,-474397,-3.23%,KEY
First Trust Advisors LP,1.41%,13179754,165010520,932461,+7.61%,KEY
"Northern Trust Investments, Inc.(...",16.13%,55131838,3691627872,51552671,"+1,440.35%",K
"The Vanguard Group, Inc.",8.67%,29628951,1983954559,422163,+1.45%,K
BlackRock Fund Advisors,6.41%,21898700,1466336952,3528107,+19.21%,K
"KeyBank, NA (Investment Managemen...",6.08%,20796598,1392540202,-49501,-0.24%,K
"SSgA Funds Management, Inc.",3.92%,13412175,898079238,141523,+1.07%,K
Wellington Management Co. LLP,3.63%,12420599,831683309,266465,+2.19%,K
Geode Capital Management LLC,1.61%,5500376,368305177,87624,+1.62%,K
Charles Schwab Investment Managem...,1.58%,5396277,361334708,552179,+11.40%,K
Capital Research & Management Co....,1.25%,4268392,285811528,-1955359,-31.42%,K
"Beutel, Goodman & Co. Ltd.",1.20%,4106917,274999162,-22580,-0.55%,K
"The Vanguard Group, Inc.",11.11%,79719502,3935751814,1120199,+1.43%,KR
"Berkshire Hathaway, Inc. (Investm...",6.97%,50000000,2468500000,-268823,-0.53%,KR
BlackRock Fund Advisors,6.21%,44578481,2200839607,802867,+1.83%,KR
"SSgA Funds Management, Inc.",4.79%,34385492,1697611740,-1046215,-2.95%,KR
Geode Capital Management LLC,1.86%,13318048,657512030,41424,+0.31%,KR
Dimensional Fund Advisors LP,1.61%,11573330,571375302,90212,+0.79%,KR
Renaissance Technologies LLC,1.54%,11040254,545057340,-1885456,-14.59%,KR
Capital Research & Management Co....,1.48%,10605440,523590573,-347986,-3.18%,KR
LSV Asset Management,1.45%,10403712,513631261,-642703,-5.82%,KR
"Northern Trust Investments, Inc.(...",0.95%,6789052,335175497,-821437,-10.79%,KR
"The Vanguard Group, Inc.",11.83%,38321974,1319042345,831012,+2.22%,JNPR
Dodge & Cox,10.97%,35532252,1223020114,-3318506,-8.54%,JNPR
BlackRock Fund Advisors,6.31%,20441479,703595707,-766988,-3.62%,JNPR
"SSgA Funds Management, Inc.",4.42%,14325682,493089974,-235810,-1.62%,JNPR
First Trust Advisors LP,3.01%,9751277,335638954,-1676296,-14.67%,JNPR
Geode Capital Management LLC,2.28%,7392542,254451296,106609,+1.46%,JNPR
Legal & General Investment Manage...,1.83%,5913177,203531552,343108,+6.16%,JNPR
Acadian Asset Management LLC,1.68%,5429770,186892683,87104,+1.63%,JNPR
Dimensional Fund Advisors LP,1.45%,4708317,162060271,106226,+2.31%,JNPR
American Century Investment Manag...,1.26%,4073056,140194588,2310476,+131.08%,JNPR
"The Vanguard Group, Inc.",8.33%,28129275,3775511291,425019,+1.53%,KMB
BlackRock Fund Advisors,5.98%,20183352,2709009505,738361,+3.80%,KMB
"SSgA Funds Management, Inc.",5.70%,19252965,2584132962,867276,+4.72%,KMB
"T. Rowe Price Associates, Inc. (I...",2.85%,9628171,1292293112,1643311,+20.58%,KMB
Capital Research & Management Co....,2.14%,7237222,971379937,-890932,-10.96%,KMB
Massachusetts Financial Services ...,2.13%,7198665,966204816,-199818,-2.70%,KMB
Charles Schwab Investment Managem...,2.10%,7095043,952296671,715624,+11.22%,KMB
Geode Capital Management LLC,1.88%,6357163,853258418,147641,+2.38%,KMB
Wellington Management Co. LLP,1.52%,5124577,687820725,-360899,-6.58%,KMB
American Century Investment Manag...,1.18%,3989265,535439148,32406,+0.82%,KMB
"The Vanguard Group, Inc.",11.89%,8676501,1307722231,176322,+2.07%,JKHY
BlackRock Fund Advisors,7.71%,5624396,847708965,438648,+8.46%,JKHY
APG Asset Management NV,5.18%,3778921,569558973,-243828,-6.06%,JKHY
"SSgA Funds Management, Inc.",4.25%,3103342,467735706,-74222,-2.34%,JKHY
Kayne Anderson Rudnick Investment...,3.99%,2913622,439141108,-51361,-1.73%,JKHY
"CIBC Private Wealth Advisors, Inc...",2.63%,1916137,288800169,-66,-0.00%,JKHY
Geode Capital Management LLC,2.33%,1701715,256482485,48730,+2.95%,JKHY
"JPMorgan Investment Management, I...",2.04%,1489837,224548233,250005,+20.16%,JKHY
Invesco Capital Management LLC,1.86%,1359298,204873395,204061,+17.66%,JKHY
Parnassus Investments LLC,1.33%,967181,145773520,-314141,-24.52%,JKHY
"The Vanguard Group, Inc.",9.13%,12646604,5048144919,165738,+1.33%,KLAC
BlackRock Fund Advisors,5.10%,7059549,2817960174,-583425,-7.63%,KLAC
PRIMECAP Management Co.,4.89%,6771954,2703160878,-338840,-4.77%,KLAC
Capital Research & Management Co....,4.44%,6148907,2454459207,-446040,-6.76%,KLAC
"SSgA Funds Management, Inc.",4.11%,5685695,2269558873,-150809,-2.58%,KLAC
"T. Rowe Price Associates, Inc. (I...",3.73%,5168666,2063176407,180374,+3.62%,KLAC
Massachusetts Financial Services ...,2.00%,2774823,1107626097,-58730,-2.07%,KLAC
Geode Capital Management LLC,1.86%,2576855,1028603210,16552,+0.65%,KLAC
Janus Henderson Investors US LLC,1.73%,2395250,956111943,-20161,-0.83%,KLAC
Wellington Management Co. LLP,1.61%,2235299,892264302,112426,+5.30%,KLAC
"Berkshire Hathaway, Inc. (Investm...",26.58%,325634818,12592298412,0,0.00%,KHC
"The Vanguard Group, Inc.",5.28%,64624630,2499034442,304577,+0.47%,KHC
"SSgA Funds Management, Inc.",3.04%,37211893,1438983902,475795,+1.30%,KHC
BlackRock Fund Advisors,2.90%,35466487,1371489052,3549891,+11.12%,KHC
Capital Research & Management Co....,2.07%,25351884,980357354,716240,+2.91%,KHC
"T. Rowe Price Associates, Inc. (I...",1.59%,19527499,755128386,18518584,"+1,835.49%",KHC
Geode Capital Management LLC,1.22%,14901495,576240812,149251,+1.01%,KHC
Franklin Mutual Advisers LLC,1.09%,13360148,516636923,-796848,-5.63%,KHC
"Invesco Advisers, Inc.",1.01%,12416443,480143851,-15768,-0.13%,KHC
BlackRock Advisors LLC,0.91%,11138598,430729585,10619049,"+2,043.90%",KHC
"The Vanguard Group, Inc.",11.30%,20122915,3249448314,167632,+0.84%,KEYS
BlackRock Fund Advisors,6.84%,12178483,1966581435,598297,+5.17%,KEYS
"SSgA Funds Management, Inc.",4.30%,7662463,1237334525,-213779,-2.71%,KEYS
T. Rowe Price Investment Manageme...,2.94%,5229364,844437699,4216,+0.08%,KEYS
Mackenzie Financial Corp.,2.10%,3741600,604193568,-208427,-5.28%,KEYS
Geode Capital Management LLC,2.03%,3615791,583877931,84128,+2.38%,KEYS
Swedbank Robur Fonder AB,2.02%,3590534,579799430,230000,+6.84%,KEYS
"JPMorgan Investment Management, I...",1.88%,3346999,540473399,-21967,-0.65%,KEYS
AllianceBernstein LP,1.21%,2160766,348920494,521934,+31.85%,KEYS
"Northern Trust Investments, Inc.(...",1.06%,1882280,303950574,-46801,-2.43%,KEYS
"The Vanguard Group, Inc.",9.25%,9601868,1684743759,107897,+1.14%,JBHT
T. Rowe Price Investment Manageme...,5.04%,5228456,917384890,-311440,-5.62%,JBHT
"T. Rowe Price Associates, Inc. (I...",4.52%,4693451,823512912,-202592,-4.14%,JBHT
BlackRock Fund Advisors,4.18%,4340424,761570795,242133,+5.91%,JBHT
Janus Henderson Investors US LLC,3.57%,3701619,649486070,-491191,-11.72%,JBHT
"Barrow, Hanley, Mewhinney & Strau...",3.26%,3386196,594141950,-59461,-1.73%,JBHT
